epoch,train_loss,val_loss
1,0.16466732259333133,0.17670557641163467
2,0.2088171457348764,0.2114215648725629
3,0.20057647814571858,0.1838094989053905
4,0.17413009466141463,0.16312025994099677
5,0.1569051040802896,0.15275162728130817
6,0.13461539504557848,0.12078880420550704
7,0.09819221139676869,0.06656464681308717
8,0.034094915822781624,0.018021491240896286
9,0.013464686205182224,0.008149318009614945
10,0.005155023400876671,0.0037438557100016624
11,0.002900428085147869,0.0022949849333264863
12,0.0018626883794460446,0.0015738092059851623
13,0.0012321839284151793,0.0009761065717029851
14,0.0008761752739368239,0.0007347730211360613
15,0.0006362318056443474,0.0005293452638230519
16,0.00048785078096494545,0.0004341773677311721
17,0.0004040585947872023,0.00038690922977839364
18,0.00036044000778376355,0.0003581135117681697
19,0.00033212693883571774,0.00031126890912855744
20,0.0003020512200733356,0.00029492831049428785
21,0.00029906471582886296,0.0002888215331840911
22,0.00029271307228831574,0.0002897245886793826
23,0.00028724486209772294,0.00028751782721519705
24,0.00028443931980771595,0.00030586255661619363
25,0.00028980386096896836,0.0002932693738031958
26,0.00029156903169321596,0.00029366915731152403
27,0.0002935357326520898,0.00028925800519718906
28,0.00029379909970928567,0.00029934164952865103
29,0.00030006179407486344,0.0002984276372801105
30,0.00030157909558329264,0.00030656794456663194
31,0.00030094939547867396,0.00031006729744840415
32,0.00030517947978529264,0.0003057067668021773
33,0.0003151262614435109,0.0003219064088756568
34,0.0003229362673244032,0.0003214468889636919
35,0.00032766197800141524,0.00033206545602952245
36,0.00033476302211754957,0.0003381197970309586
37,0.00033973553320596693,0.00033965359370049554
38,0.00034377727809420324,0.00033943317622470203
39,0.000353344642551092,0.00036294030221179125
40,0.0003584450924380508,0.00036564733300183436
41,0.0003592950149541139,0.00035574278661006244
42,0.0003649460869173345,0.00037637305919197386
43,0.00037525851816841167,0.0003933953236672096
44,0.0003753259079300915,0.00037678916190780003
45,0.00037645452305354413,0.0003709981198095193
46,0.0003835032537291409,0.0003826400031801313
47,0.0003843332619906869,0.00039019682291836945
48,0.00038896895397949263,0.00038634821778105107
49,0.0003911634681964642,0.0003906426571556949
50,0.00039010186291649006,0.00039268055057909806
51,0.0003898504149387009,0.00038875777595385444
52,0.00039002529400851925,0.0003865730093064485
53,0.0003849807115280419,0.0003806581760785775
54,0.0003839613501526765,0.0003887985879642656
55,0.0003819518770769355,0.0003782027944558649
56,0.0003809734854780254,0.00037234044937067666
57,0.00037917902938032055,0.0003789166584741906
58,0.00037510130427908736,0.0003890347135195043
59,0.00036692170133668695,0.00037020759283186634
60,0.0003596932711428963,0.00035741768886800854
61,0.0003553449652274139,0.000358439366921084
62,0.00034817050356403343,0.0003463559384625114
63,0.00034493322882422943,0.0003441555086174048
64,0.00033935734478291124,0.00032737847419557514
65,0.00033097905319184065,0.00032561535847125926
66,0.00032050023230331134,0.00032475582363986175
67,0.00031646631445328237,0.00031146784605007267
68,0.0003080160308802442,0.0003031611259044439
69,0.0003002003224144573,0.0002987188662518747
70,0.0002938349979375198,0.00028573111664081805
71,0.00028439947368926366,0.0002792998787132092
72,0.0002773136775867897,0.00026789257869604626
73,0.00026848378942449926,0.00026549264185887295
74,0.0002641192536671588,0.00026710946288949347
75,0.00025705309966549974,0.0002543935436246102
76,0.0002490110797084344,0.0002468170661042677
77,0.0002413515190059843,0.00023797703168238512
78,0.00023651536404482613,0.00022996123325501685
79,0.0002261450898151088,0.00022333182361035142
80,0.00021929854999441886,0.0002130647709243931
81,0.00021167216069967252,0.00020669860624548164
82,0.0002042463085090276,0.0002006772707478376
83,0.00019862444839629462,0.00019589473534033458
84,0.00019237875920342047,0.00019180936110351466
85,0.0001858376600682095,0.00018465932948056433
86,0.00017917242097930283,0.0001755855531013367
87,0.00017202395657644955,0.00017155137439622194
88,0.00016644152719673,0.0001647187514907273
89,0.00016236686144729902,0.00016052018247901287
90,0.00015557143976962834,0.0001538064652311732
91,0.0001509846799632578,0.00015058444934729778
92,0.0001477238033861795,0.00014579755508857488
93,0.00014307810257050733,0.00014251330254846836
94,0.00014109718260297085,0.00013832652684432105
95,0.00013765131270156416,0.00013788469076025649
96,0.00013536211599071975,0.00013528613190610486
97,0.0001335094856438809,0.00013347612870165902
98,0.00013281704312285002,0.00013252041519081102
99,0.00013229099273652536,0.00013340659096575108
100,0.00013230032413383015,0.0001323321998166648
